Location,Site,Row,Column,BroadLeaf
RS,RS021,1,2,1
RS,RS021,1,3,1
RS,RS021,1,4,0
RS,RS021,1,5,0
RS,RS021,1,6,0
RS,RS021,1,7,0
RS,RS021,2,0,1
RS,RS021,2,1,1
RS,RS021,2,2,1
RS,RS021,2,3,1
RS,RS021,2,4,0
RS,RS021,2,5,0
RS,RS021,2,6,0
RS,RS021,2,7,0
RS,RS021,3,0,1
RS,RS021,3,1,1
RS,RS021,3,2,1
RS,RS021,3,3,1
RS,RS021,3,4,1
RS,RS021,3,5,0
RS,RS021,3,6,0
RS,RS021,3,7,1
RS,RS022,1,0,0
RS,RS022,1,1,0
RS,RS022,1,2,0
RS,RS022,1,3,0
RS,RS022,1,4,0
RS,RS022,1,5,1
RS,RS022,1,6,0
RS,RS022,1,7,0
RS,RS022,2,0,0
RS,RS022,2,1,0
RS,RS022,2,2,1
RS,RS022,2,3,9
RS,RS022,2,4,0
RS,RS022,2,5,1
RS,RS022,2,6,1
RS,RS022,2,7,1
RS,RS022,3,0,1
RS,RS022,3,1,1
RS,RS022,3,2,1
RS,RS022,3,3,1
RS,RS022,3,4,9
RS,RS022,3,5,1
RS,RS022,3,6,1
RS,RS022,3,7,1
RS,RS023,1,0,1
RS,RS023,1,1,0
RS,RS023,1,2,0
RS,RS023,1,3,0
RS,RS023,1,4,0
RS,RS023,1,5,0
RS,RS023,1,6,0
RS,RS023,1,7,1
RS,RS023,2,0,1
RS,RS023,2,1,1
RS,RS023,2,2,0
RS,RS023,2,3,0
RS,RS023,2,4,0
RS,RS023,2,5,0
RS,RS023,2,6,0
RS,RS023,2,7,1
RS,RS023,3,0,1
RS,RS023,3,1,1
RS,RS023,3,2,0
RS,RS023,3,3,0
RS,RS023,3,4,0
RS,RS023,3,5,1
RS,RS023,3,6,0
RS,RS023,3,7,0
RS,RS024,1,0,1
RS,RS024,1,1,1
RS,RS024,1,2,1
RS,RS024,1,3,0
RS,RS024,1,4,1
RS,RS024,1,5,1
RS,RS024,1,6,0
RS,RS024,1,7,0
RS,RS024,2,0,1
RS,RS024,2,1,1
RS,RS024,2,2,1
RS,RS024,2,3,0
RS,RS024,2,4,0
RS,RS024,2,5,1
RS,RS024,2,6,0
RS,RS024,2,7,0
RS,RS024,3,0,1
RS,RS024,3,1,1
RS,RS024,3,2,1
RS,RS024,3,3,0
RS,RS024,3,4,1
RS,RS024,3,5,1
RS,RS024,3,6,0
RS,RS024,3,7,0
RS,RS025,1,0,1
RS,RS025,1,1,1
RS,RS025,1,2,1
RS,RS025,1,3,1
RS,RS025,1,4,1
RS,RS025,1,5,0
RS,RS025,1,6,1
RS,RS025,1,7,1
RS,RS025,2,0,1
RS,RS025,2,1,1
RS,RS025,2,2,1
RS,RS025,2,3,1
RS,RS025,2,4,1
RS,RS025,2,5,1
RS,RS025,2,6,1
RS,RS025,2,7,1
RS,RS025,3,0,1
RS,RS025,3,1,1
RS,RS025,3,2,1
RS,RS025,3,3,1
RS,RS025,3,4,1
RS,RS025,3,5,1
RS,RS025,3,6,1
RS,RS025,3,7,1
RS,RS027,1,0,0
RS,RS027,1,1,1
RS,RS027,1,2,1
RS,RS027,1,3,0
RS,RS027,1,4,0
RS,RS027,1,5,0
RS,RS027,1,6,0
RS,RS027,1,7,9
RS,RS027,2,0,0
RS,RS027,2,1,1
RS,RS027,2,2,1
RS,RS027,2,3,0
RS,RS027,2,4,0
RS,RS027,2,5,0
RS,RS027,2,6,0
RS,RS027,2,7,9
RS,RS027,3,0,0
RS,RS027,3,1,0
RS,RS027,3,2,0
RS,RS027,3,3,0
RS,RS027,3,4,0
RS,RS027,3,5,0
RS,RS027,3,6,0
RS,RS027,3,7,0
RS,RS028,1,0,0
RS,RS028,1,1,1
RS,RS028,1,2,1
RS,RS028,1,3,1
RS,RS028,1,4,1
