 ,Label,Area,Perim.
93078,p_0_YP15_E_T.tif,3,6.24
93079,p_0_YP15_E_T.tif,5,7.66
93080,p_0_YP15_E_T.tif,24,18.14
93081,p_0_YP15_E_T.tif,3,5.66
93082,p_0_YP15_E_T.tif,1,2.83
93083,p_0_YP15_E_T.tif,19,19.31
93084,p_0_YP15_E_T.tif,11,11.90
93085,p_0_YP15_E_T.tif,157,91.64
93086,p_0_YP15_E_T.tif,2,4.83
93087,p_0_YP15_E_T.tif,7,8.49
93088,p_0_YP15_E_T.tif,8,9.66
93089,p_0_YP15_E_T.tif,6,7.66
93090,p_0_YP15_E_T.tif,774,169.24
93091,p_0_YP15_E_T.tif,5,7.66
93092,p_0_YP15_E_T.tif,5,9.66
93093,p_0_YP15_E_T.tif,15,14.73
93094,p_0_YP15_E_T.tif,15,13.90
93095,p_0_YP15_E_T.tif,66,43.36
93096,p_0_YP15_E_T.tif,23,19.31
93097,p_0_YP15_E_T.tif,3,5.66
93098,p_0_YP15_E_T.tif,204,97.54
93099,p_0_YP15_E_T.tif,5,7.66
93100,p_0_YP15_E_T.tif,6,9.66
93101,p_0_YP15_E_T.tif,48,36.04
93102,p_0_YP15_E_T.tif,4,5.66
93103,p_0_YP15_E_T.tif,1,2.83
93104,p_0_YP15_E_T.tif,12,20.38
93105,p_0_YP15_E_T.tif,7,10.49
93106,p_0_YP15_E_T.tif,6,10.49
93107,p_0_YP15_E_T.tif,12,13.31
93108,p_0_YP15_E_T.tif,5,9.66
93109,p_0_YP15_E_T.tif,3,6.83
93110,p_0_YP15_E_T.tif,1,2.83
93111,p_0_YP15_E_T.tif,6,12.49
93112,p_0_YP15_E_T.tif,6,8.49
93113,p_0_YP15_E_T.tif,2,5.66
93114,p_0_YP15_E_T.tif,4,7.66
93115,p_0_YP15_E_T.tif,23,20.14
93116,p_0_YP15_E_T.tif,2,4.24
93117,p_0_YP15_E_T.tif,6,7.66
93118,p_0_YP15_E_T.tif,1,2.83
93119,p_0_YP15_E_T.tif,3,5.66
93120,p_0_YP15_E_T.tif,9,13.31
93121,p_0_YP15_E_T.tif,1,2.83
93122,p_0_YP15_E_T.tif,1,2.83
93123,p_0_YP15_E_T.tif,4,7.66
93124,p_0_YP15_E_T.tif,1,2.83
93125,p_0_YP15_E_T.tif,9,13.31
93126,p_0_YP15_E_T.tif,2,4.83
93127,p_0_YP15_E_T.tif,1,2.83
93128,p_0_YP15_E_T.tif,11,13.90
93129,p_0_YP15_E_T.tif,4,7.66
93130,p_0_YP15_E_T.tif,39,26.97
93131,p_0_YP15_E_T.tif,12,15.31
93132,p_0_YP15_E_T.tif,57,40.28
93133,p_0_YP15_E_T.tif,3,6.83
93134,p_0_YP15_E_T.tif,25,23.56
93135,p_0_YP15_E_T.tif,24,20.38
93136,p_0_YP15_E_T.tif,3,7.66
93137,p_0_YP15_E_T.tif,10,15.31
93138,p_0_YP15_E_T.tif,7,9.66
93139,p_0_YP15_E_T.tif,103,49.94
93140,p_0_YP15_E_T.tif,11,12.49
93141,p_0_YP15_E_T.tif,1,2.83
93142,p_0_YP15_E_T.tif,2,5.66
93143,p_0_YP15_E_T.tif,1,2.83
93144,p_0_YP15_E_T.tif,8,10.49
93145,p_0_YP15_E_T.tif,173,90.23
93146,p_0_YP15_E_T.tif,48,36.28
93147,p_0_YP15_E_T.tif,18,14.73
93148,p_0_YP15_E_T.tif,1,2.83
93149,p_0_YP15_E_T.tif,2,4.24
93150,p_0_YP15_E_T.tif,9,11.07
93151,p_0_YP15_E_T.tif,1,2.83
93152,p_0_YP15_E_T.tif,23,17.56
93153,p_0_YP15_E_T.tif,14,16.14
93154,p_0_YP15_E_T.tif,3,5.66
93155,p_0_YP15_E_T.tif,9,13.31
93156,p_0_YP15_E_T.tif,17,19.56
93157,p_0_YP15_E_T.tif,204,106.71
93158,p_0_YP15_E_T.tif,5,7.66
93159,p_0_YP15_E_T.tif,2,4.83
93160,p_0_YP15_E_T.tif,133,70.08
93161,p_0_YP15_E_T.tif,16,15.31
93162,p_0_YP15_E_T.tif,7,9.66
93163,p_0_YP15_E_T.tif,5,7.66
93164,p_0_YP15_E_T.tif,26,25.21
93165,p_0_YP15_E_T.tif,4,5.66
93166,p_0_YP15_E_T.tif,12,11.90
93167,p_0_YP15_E_T.tif,106,40.04
93168,p_0_YP15_E_T.tif,147,107.54
93169,p_0_YP15_E_T.tif,13,18.14
93170,p_0_YP15_E_T.tif,1,2.83
93171,p_0_YP15_E_T.tif,1,2.83
93172,p_0_YP15_E_T.tif,10,12.49
93173,p_0_YP15_E_T.tif,31,24.38
93174,p_0_YP15_E_T.tif,9,13.31
93175,p_0_YP15_E_T.tif,3,6.83
93176,p_0_YP15_E_T.tif,6,9.66
93177,p_0_YP15_E_T.tif,2,4.24
93178,p_0_YP15_E_T.tif,5,7.66
93179,p_0_YP15_E_T.tif,4,7.66
93180,p_0_YP15_E_T.tif,4,5.66
93181,p_0_YP15_E_T.tif,26,22.38
93182,p_0_YP15_E_T.tif,104,79.74
93183,p_0_YP15_E_T.tif,4,8.49
93184,p_0_YP15_E_T.tif,17,14.49
93185,p_0_YP15_E_T.tif,2,4.83
93186,p_0_YP15_E_T.tif,1,2.83
93187,p_0_YP15_E_T.tif,15,15.31
93188,p_0_YP15_E_T.tif,46,41.11
93189,p_0_YP15_E_T.tif,1,2.83
93190,p_0_YP15_E_T.tif,1,2.83
93191,p_0_YP15_E_T.tif,1,2.83
93192,p_0_YP15_E_T.tif,10,10.49
93193,p_0_YP15_E_T.tif,4,10.49
93194,p_0_YP15_E_T.tif,36,23.80
93195,p_0_YP15_E_T.tif,9,10.49
93196,p_0_YP15_E_T.tif,10,10.49
93197,p_0_YP15_E_T.tif,143,57.60
93198,p_0_YP15_E_T.tif,5,7.66
93199,p_0_YP15_E_T.tif,1,2.83
93200,p_0_YP15_E_T.tif,2,5.66
93201,p_0_YP15_E_T.tif,3,7.66
93202,p_0_YP15_E_T.tif,10,12.49
93203,p_0_YP15_E_T.tif,31,25.21
93204,p_0_YP15_E_T.tif,165,87.30
93205,p_0_YP15_E_T.tif,11,13.07
93206,p_0_YP15_E_T.tif,8,16.49
93207,p_0_YP15_E_T.tif,20,19.56
93208,p_0_YP15_E_T.tif,9,10.49
93209,p_0_YP15_E_T.tif,1,2.83
93210,p_0_YP15_E_T.tif,2,4.83
93211,p_0_YP15_E_T.tif,21,25.80
93212,p_0_YP15_E_T.tif,1,2.83
93213,p_0_YP15_E_T.tif,50,33.46
93214,p_0_YP15_E_T.tif,72,42.87
93215,p_0_YP15_E_T.tif,12,14.49
93216,p_0_YP15_E_T.tif,1,2.83
93217,p_0_YP15_E_T.tif,25,28.14
93218,p_0_YP15_E_T.tif,28,27.56
93219,p_0_YP15_E_T.tif,10,11.07
93220,p_0_YP15_E_T.tif,1,2.83
93221,p_0_YP15_E_T.tif,1,2.83
93222,p_0_YP15_E_T.tif,42,34.04
93223,p_0_YP15_E_T.tif,11,13.31
93224,p_0_YP15_E_T.tif,6,8.49
93225,p_0_YP15_E_T.tif,3,5.66
93226,p_0_YP15_E_T.tif,92,66.08
93227,p_0_YP15_E_T.tif,1,2.83
93228,p_0_YP15_E_T.tif,1,2.83
93229,p_0_YP15_E_T.tif,7,8.49
93230,p_0_YP15_E_T.tif,218,75.01
93231,p_0_YP15_E_T.tif,20,19.90
93232,p_0_YP15_E_T.tif,2,5.66
93233,p_0_YP15_E_T.tif,67,41.21
93234,p_0_YP15_E_T.tif,5,7.66
93235,p_0_YP15_E_T.tif,5,8.49
93236,p_0_YP15_E_T.tif,31,27.80
93237,p_0_YP15_E_T.tif,1,2.83
93238,p_0_YP15_E_T.tif,46,26.73
93239,p_0_YP15_E_T.tif,5,8.49
93240,p_0_YP15_E_T.tif,19,18.73
93241,p_0_YP15_E_T.tif,4,7.66
93242,p_0_YP15_E_T.tif,162,105.40
93243,p_0_YP15_E_T.tif,122,56.77
93244,p_0_YP15_E_T.tif,7,9.66
93245,p_0_YP15_E_T.tif,1,2.83
93246,p_0_YP15_E_T.tif,3,5.66
93247,p_0_YP15_E_T.tif,640,229.91
93248,p_0_YP15_E_T.tif,5,7.66
93249,p_0_YP15_E_T.tif,1,2.83
93250,p_0_YP15_E_T.tif,582,177.14
93251,p_0_YP15_E_T.tif,3,5.66
93252,p_0_YP15_E_T.tif,2,4.24
93253,p_0_YP15_E_T.tif,2,4.83
93254,p_0_YP15_E_T.tif,2,5.66
93255,p_0_YP15_E_T.tif,1,2.83
93256,p_0_YP15_E_T.tif,1,2.83
93257,p_0_YP15_E_T.tif,113,76.33
93258,p_0_YP15_E_T.tif,7,9.66
93259,p_0_YP15_E_T.tif,9,14.49
93260,p_0_YP15_E_T.tif,17,16.73
93261,p_0_YP15_E_T.tif,1,2.83
93262,p_0_YP15_E_T.tif,2,4.24
93263,p_0_YP15_E_T.tif,1,2.83
93264,p_0_YP15_E_T.tif,3,5.66
93265,p_0_YP15_E_T.tif,14,15.31
93266,p_0_YP15_E_T.tif,723,230.15
93267,p_0_YP15_E_T.tif,1,2.83
93268,p_0_YP15_E_T.tif,42,26.97
93269,p_0_YP15_E_T.tif,2,4.24
93270,p_0_YP15_E_T.tif,16,15.31
93271,p_0_YP15_E_T.tif,4,7.07
93272,p_0_YP15_E_T.tif,1,2.83
93273,p_0_YP15_E_T.tif,10,12.49
93274,p_0_YP15_E_T.tif,123,65.25
93275,p_0_YP15_E_T.tif,240,109.54
93276,p_0_YP15_E_T.tif,18,15.31
93277,p_0_YP15_E_T.tif,8,9.07
93278,p_0_YP15_E_T.tif,2,5.66
93279,p_0_YP15_E_T.tif,5,7.07
93280,p_0_YP15_E_T.tif,6,9.66
93281,p_0_YP15_E_T.tif,1,2.83
93282,p_0_YP15_E_T.tif,1,2.83
93283,p_0_YP15_E_T.tif,26,28.63
93284,p_0_YP15_E_T.tif,10,16.49
93285,p_0_YP15_E_T.tif,9,9.66
93286,p_0_YP15_E_T.tif,1,2.83
93287,p_0_YP15_E_T.tif,1,2.83
93288,p_0_YP15_E_T.tif,2,4.83
93289,p_0_YP15_E_T.tif,5,7.66
93290,p_0_YP15_E_T.tif,9,12.49
93291,p_0_YP15_E_T.tif,12,13.07
93292,p_0_YP15_E_T.tif,3,5.66
93293,p_0_YP15_E_T.tif,190,82.57
93294,p_0_YP15_E_T.tif,2,4.83
93295,p_0_YP15_E_T.tif,318,121.44
93296,p_0_YP15_E_T.tif,2,4.83
93297,p_0_YP15_E_T.tif,17,18.73
93298,p_0_YP15_E_T.tif,4,5.66
93299,p_0_YP15_E_T.tif,47,33.21
93300,p_0_YP15_E_T.tif,7,8.49
93301,p_0_YP15_E_T.tif,3,5.66
93302,p_0_YP15_E_T.tif,30,22.14
93303,p_0_YP15_E_T.tif,14,19.56
93304,p_0_YP15_E_T.tif,3,5.66
93305,p_0_YP15_E_T.tif,1,2.83
93306,p_0_YP15_E_T.tif,231,114.02
93307,p_0_YP15_E_T.tif,7,10.49
93308,p_0_YP15_E_T.tif,137,49.94
93309,p_0_YP15_E_T.tif,2,4.24
93310,p_0_YP15_E_T.tif,30,31.80
93311,p_0_YP15_E_T.tif,1,2.83
93312,p_0_YP15_E_T.tif,2,4.24
93313,p_0_YP15_E_T.tif,409,179.28
93314,p_0_YP15_E_T.tif,13,15.31
93315,p_0_YP15_E_T.tif,34,21.90
93316,p_0_YP15_E_T.tif,1,2.83
93317,p_0_YP15_E_T.tif,5,9.90
93318,p_0_YP15_E_T.tif,10,12.49
93319,p_0_YP15_E_T.tif,7,14.49
93320,p_0_YP15_E_T.tif,8,11.07
93321,p_0_YP15_E_T.tif,104,69.25
93322,p_0_YP15_E_T.tif,2,4.83
93323,p_0_YP15_E_T.tif,11,14.49
93324,p_0_YP15_E_T.tif,2501,464.16
93325,p_0_YP15_E_T.tif,1,2.83
93326,p_0_YP15_E_T.tif,3,5.66
93327,p_0_YP15_E_T.tif,1,2.83
93328,p_0_YP15_E_T.tif,7,9.66
93329,p_0_YP15_E_T.tif,17,17.31
93330,p_0_YP15_E_T.tif,9,13.90
93331,p_0_YP15_E_T.tif,71,51.36
93332,p_0_YP15_E_T.tif,1,2.83
93333,p_0_YP15_E_T.tif,3,6.83
93334,p_0_YP15_E_T.tif,3,5.66
93335,p_0_YP15_E_T.tif,13,13.31
93336,p_0_YP15_E_T.tif,1,2.83
93337,p_0_YP15_E_T.tif,6,7.66
93338,p_0_YP15_E_T.tif,1,2.83
93339,p_0_YP15_E_T.tif,11,13.31
93340,p_0_YP15_E_T.tif,8,10.49
93341,p_0_YP15_E_T.tif,2,5.66
93342,p_0_YP15_E_T.tif,180,87.98
93343,p_0_YP15_E_T.tif,6,9.66
93344,p_0_YP15_E_T.tif,10,13.31
93345,p_0_YP15_E_T.tif,2,4.24
93346,p_0_YP15_E_T.tif,1,2.83
